SO,WC,SC
EXPERT OPINION ON BIOLOGICAL THERAPY,"Biotechnology & Applied Microbiology; Medicine, Research & Experimental",Biotechnology & Applied Microbiology; Research & Experimental Medicine
EXPERT OPINION ON DRUG SAFETY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
EXPERT OPINION ON INVESTIGATIONAL DRUGS,Pharmacology & Pharmacy,Pharmacology & Pharmacy
EXPERT OPINION ON PHARMACOTHERAPY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
EXPERT SYSTEMS WITH APPLICATIONS,"Computer Science, Artificial Intelligence; Engineering, Electrical & Electronic; Operations Research & Management Science",Computer Science; Engineering; Operations Research & Management Science
FASEB JOURNAL,Biochemistry & Molecular Biology; Biology; Cell Biology,Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology
FEBS JOURNAL,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
FEBS LETTERS,Biochemistry & Molecular Biology; Biophysics; Cell Biology,Biochemistry & Molecular Biology; Biophysics; Cell Biology
FEMINISM & PSYCHOLOGY,"Psychology, Multidisciplinary; Women's Studies",Psychology; Women's Studies
FEMS IMMUNOLOGY AND MEDICAL MICROBIOLOGY,Immunology; Infectious Diseases; Microbiology,Immunology; Infectious Diseases; Microbiology
FEMS YEAST RESEARCH,Biotechnology & Applied Microbiology; Microbiology; Mycology,Biotechnology & Applied Microbiology; Microbiology; Mycology
FERTILITY AND STERILITY,Obstetrics & Gynecology; Reproductive Biology,Obstetrics & Gynecology; Reproductive Biology
FIBER AND INTEGRATED OPTICS,Optics,Optics
FINANCE AND STOCHASTICS,"Business, Finance; Mathematics, Interdisciplinary Applications; Social Sciences, Mathematical Methods; Statistics & Probability",Business & Economics; Mathematics; Mathematical Methods In Social Sciences
FOLIA BIOLOGICA,Biochemistry & Molecular Biology; Biology; Oncology; Cell Biology,Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Oncology; Cell Biology
FOOD AND BIOPRODUCTS PROCESSING,"Biotechnology & Applied Microbiology; Engineering, Chemical; Food Science & Technology",Biotechnology & Applied Microbiology; Engineering; Food Science & Technology
FOOD AND CHEMICAL TOXICOLOGY,Food Science & Technology; Toxicology,Food Science & Technology; Toxicology
FOOD CHEMISTRY,"Chemistry, Applied; Food Science & Technology; Nutrition & Dietetics",Chemistry; Food Science & Technology; Nutrition & Dietetics
FOOD MICROBIOLOGY,Biotechnology & Applied Microbiology; Food Science & Technology; Microbiology,Biotechnology & Applied Microbiology; Food Science & Technology; Microbiology
FOOD SCIENCE AND BIOTECHNOLOGY,Food Science & Technology,Food Science & Technology
FREE RADICAL BIOLOGY AND MEDICINE,Biochemistry & Molecular Biology; Endocrinology & Metabolism,Biochemistry & Molecular Biology; Endocrinology & Metabolism
FRENCH FORUM,"Literature, Romance",Literature
FRONTIERS IN BEHAVIORAL NEUROSCIENCE,Behavioral Sciences; Neurosciences,Behavioral Sciences; Neurosciences & Neurology
FRONTIERS IN CELLULAR AND INFECTION MICROBIOLOGY,Immunology; Microbiology,Immunology; Microbiology
FRONTIERS IN NEUROSCIENCE,Neurosciences,Neurosciences & Neurology
FUEL,"Energy & Fuels; Engineering, Chemical",Energy & Fuels; Engineering
FUNCTIONAL PLANT BIOLOGY,Plant Sciences,Plant Sciences
FUSION ENGINEERING AND DESIGN,Nuclear Science & Technology,Nuclear Science & Technology
GAIT & POSTURE,Neurosciences; Orthopedics; Sport Sciences,Neurosciences & Neurology; Orthopedics; Sport Sciences
GASTROENTEROLOGY,Gastroenterology & Hepatology,Gastroenterology & Hepatology
GENE,Genetics & Heredity,Genetics & Heredity
GENE THERAPY,"Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity; Medicine, Research & Experimental",Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity; Research & Experimental Medicine
GENES & DEVELOPMENT,Cell Biology; Developmental Biology; Genetics & Heredity,Cell Biology; Developmental Biology; Genetics & Heredity
GENES TO CELLS,Cell Biology; Genetics & Heredity,Cell Biology; Genetics & Heredity
GENETIC TESTING AND MOLECULAR BIOMARKERS,Biochemistry & Molecular Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Genetics & Heredity
GENETICA,Genetics & Heredity,Genetics & Heredity
GENETICS AND MOLECULAR RESEARCH,Biochemistry & Molecular Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Genetics & Heredity
GENETICS RESEARCH,Genetics & Heredity,Genetics & Heredity
GENOME RESEARCH,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity,Biochemistry & Molecular Biology; Biotechnology & Applied Microbiology; Genetics & Heredity
GEOCHEMICAL JOURNAL,Geochemistry & Geophysics,Geochemistry & Geophysics
GEOLOGY,Geology,Geology
GEOMICROBIOLOGY JOURNAL,"Environmental Sciences; Geosciences, Multidisciplinary",Environmental Sciences & Ecology; Geology
GEOPHYSICS,Geochemistry & Geophysics,Geochemistry & Geophysics
GERIATRICS & GERONTOLOGY INTERNATIONAL,Geriatrics & Gerontology; Gerontology,Geriatrics & Gerontology
GERODONTOLOGY,"Dentistry, Oral Surgery & Medicine; Geriatrics & Gerontology","Dentistry, Oral Surgery & Medicine; Geriatrics & Gerontology"
GLIA,Neurosciences,Neurosciences & Neurology
GLOBAL PUBLIC HEALTH,"Public, Environmental & Occupational Health","Public, Environmental & Occupational Health"
GREEN CHEMISTRY,"Chemistry, Multidisciplinary; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY",Chemistry; Science & Technology - Other Topics
GROUP DYNAMICS-THEORY RESEARCH AND PRACTICE,"Psychology, Social",Psychology
GUT,Gastroenterology & Hepatology,Gastroenterology & Hepatology
GYNECOLOGIC ONCOLOGY,Oncology; Obstetrics & Gynecology,Oncology; Obstetrics & Gynecology
HAEMATOLOGICA-THE HEMATOLOGY JOURNAL,Hematology,Hematology
HAEMOPHILIA,Hematology,Hematology
HEALTH AND QUALITY OF LIFE OUTCOMES,Health Care Sciences & Services; Health Policy & Services,Health Care Sciences & Services
HEALTH CARE FOR WOMEN INTERNATIONAL,"Public, Environmental & Occupational Health; Women's Studies","Public, Environmental & Occupational Health; Women's Studies"
HEART,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
HEART AND VESSELS,Cardiac & Cardiovascular Systems; Peripheral Vascular Disease,Cardiovascular System & Cardiology
HELMINTHOLOGIA,Parasitology; Zoology,Parasitology; Zoology
HEMIJSKA INDUSTRIJA,"Engineering, Chemical",Engineering
HEPATO-GASTROENTEROLOGY,Gastroenterology & Hepatology; Surgery,Gastroenterology & Hepatology; Surgery
HEPATOBILIARY & PANCREATIC DISEASES INTERNATIONAL,Gastroenterology & Hepatology,Gastroenterology & Hepatology
HERZ,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
HIGHER EDUCATION,Education & Educational Research,Education & Educational Research
HIP INTERNATIONAL,Orthopedics,Orthopedics
HISTOPATHOLOGY,Cell Biology; Pathology,Cell Biology; Pathology
HUMAN GENE THERAPY,"Biotechnology & Applied Microbiology; Genetics & Heredity; Medicine, Research & Experimental",Biotechnology & Applied Microbiology; Genetics & Heredity; Research & Experimental Medicine
HUMAN MOLECULAR GENETICS,Biochemistry & Molecular Biology; Genetics & Heredity,Biochemistry & Molecular Biology; Genetics & Heredity
HUMAN REPRODUCTION,Obstetrics & Gynecology; Reproductive Biology,Obstetrics & Gynecology; Reproductive Biology
HYDROLOGICAL PROCESSES,Water Resources,Water Resources
HYPERTENSION,Peripheral Vascular Disease,Cardiovascular System & Cardiology
HYPERTENSION RESEARCH,Peripheral Vascular Disease,Cardiovascular System & Cardiology
IEICE ELECTRONICS EXPRESS,"Engineering, Electrical & Electronic",Engineering
IMMUNITY,Immunology,Immunology
IMMUNOLOGIC RESEARCH,Immunology,Immunology
IMMUNOLOGICAL INVESTIGATIONS,Immunology,Immunology
IMMUNOLOGY LETTERS,Immunology,Immunology
IN VITRO CELLULAR & DEVELOPMENTAL BIOLOGY-ANIMAL,Cell Biology; Developmental Biology,Cell Biology; Developmental Biology
INDIAN JOURNAL OF CRITICAL CARE MEDICINE,Critical Care Medicine,General & Internal Medicine
INDIAN JOURNAL OF DERMATOLOGY VENEREOLOGY & LEPROLOGY,Dermatology,Dermatology
INDIAN JOURNAL OF OPHTHALMOLOGY,Ophthalmology,Ophthalmology
INDIAN JOURNAL OF ORTHOPAEDICS,Orthopedics,Orthopedics
INDIAN JOURNAL OF PATHOLOGY AND MICROBIOLOGY,Pathology,Pathology
INDIAN JOURNAL OF PEDIATRICS,Pediatrics,Pediatrics
INDIAN JOURNAL OF PSYCHIATRY,Psychiatry,Psychiatry
INDIAN JOURNAL OF SURGERY,Surgery,Surgery
INDUSTRIAL & ENGINEERING CHEMISTRY RESEARCH,"Engineering, Chemical",Engineering
INDUSTRIAL AND CORPORATE CHANGE,Business; Economics; Management,Business & Economics
INDUSTRIAL CROPS AND PRODUCTS,Agricultural Engineering; Agronomy,Agriculture
INFECTION AND IMMUNITY,Immunology; Infectious Diseases,Immunology; Infectious Diseases
INFLAMMATION,Cell Biology; Immunology,Cell Biology; Immunology
INFLAMMATORY BOWEL DISEASES,Gastroenterology & Hepatology,Gastroenterology & Hepatology
INJURY-INTERNATIONAL JOURNAL OF THE CARE OF THE INJURED,Critical Care Medicine; Emergency Medicine; Orthopedics; Surgery,General & Internal Medicine; Emergency Medicine; Orthopedics; Surgery
INORGANIC CHEMISTRY COMMUNICATIONS,"Chemistry, Inorganic & Nuclear",Chemistry
INORGANICA CHIMICA ACTA,"Chemistry, Inorganic & Nuclear",Chemistry
INSTRUMENTS AND EXPERIMENTAL TECHNIQUES,"Engineering, Multidisciplinary; Instruments & Instrumentation",Engineering; Instruments & Instrumentation
INTEGRATED FERROELECTRICS,"Engineering, Electrical & Electronic; Physics, Applied; Physics, Condensed Matter",Engineering; Physics
INTENSIVE CARE MEDICINE,Critical Care Medicine,General & Internal Medicine
INTERACTIVE CARDIOVASCULAR AND THORACIC SURGERY,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
INTERNAL AND EMERGENCY MEDICINE,"Medicine, General & Internal",General & Internal Medicine
INTERNAL MEDICINE,"Medicine, General & Internal",General & Internal Medicine
INTERNATIONAL HEART JOURNAL,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
INTERNATIONAL IMMUNOLOGY,Immunology,Immunology
INTERNATIONAL IMMUNOPHARMACOLOGY,Immunology; Pharmacology & Pharmacy,Immunology; Pharmacology & Pharmacy
INTERNATIONAL INSOLVENCY REVIEW,"Business, Finance; Law",Business & Economics; Government & Law
INTERNATIONAL JOURNAL FOR NUMERICAL METHODS IN FLUIDS,"Computer Science, Interdisciplinary Applications; Mathematics, Interdisciplinary Applications; Mechanics; Physics, Fluids & Plasmas",Computer Science; Mathematics; Mechanics; Physics
INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,"Automation & Control Systems; Engineering, Manufacturing",Automation & Control Systems; Engineering
INTERNATIONAL JOURNAL OF ADVANCED ROBOTIC SYSTEMS,Robotics,Robotics
INTERNATIONAL JOURNAL OF ANDROLOGY,Andrology,Endocrinology & Metabolism
INTERNATIONAL JOURNAL OF APPLIED CERAMIC TECHNOLOGY,"Materials Science, Ceramics",Materials Science
INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,Biochemistry & Molecular Biology; Cell Biology,Biochemistry & Molecular Biology; Cell Biology
INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,"Biochemistry & Molecular Biology; Chemistry, Applied; Polymer Science",Biochemistry & Molecular Biology; Chemistry; Polymer Science
INTERNATIONAL JOURNAL OF CANCER,Oncology,Oncology
INTERNATIONAL JOURNAL OF CARDIOLOGY,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
INTERNATIONAL JOURNAL OF CARDIOVASCULAR IMAGING,"Cardiac & Cardiovascular Systems; Radiology, Nuclear Medicine & Medical Imaging","Cardiovascular System & Cardiology; Radiology, Nuclear Medicine & Medical Imaging"
INTERNATIONAL JOURNAL OF CHEMICAL KINETICS,"Chemistry, Physical",Chemistry
INTERNATIONAL JOURNAL OF CLIMATOLOGY,Meteorology & Atmospheric Sciences,Meteorology & Atmospheric Sciences
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL HYPNOSIS,"Psychology, Clinical; Psychiatry",Psychology; Psychiatry
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL MEDICINE,"Medicine, Research & Experimental",Research & Experimental Medicine
INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL PATHOLOGY,Oncology; Pathology,Oncology; Pathology
INTERNATIONAL JOURNAL OF CLINICAL PHARMACY,Pharmacology & Pharmacy,Pharmacology & Pharmacy
INTERNATIONAL JOURNAL OF COLORECTAL DISEASE,Gastroenterology & Hepatology; Surgery,Gastroenterology & Hepatology; Surgery
INTERNATIONAL JOURNAL OF COMPUTER MATHEMATICS,"Mathematics, Applied",Mathematics
INTERNATIONAL JOURNAL OF CONTROL AUTOMATION AND SYSTEMS,Automation & Control Systems,Automation & Control Systems
INTERNATIONAL JOURNAL OF DERMATOLOGY,Dermatology,Dermatology
INTERNATIONAL JOURNAL OF DEVELOPMENTAL NEUROSCIENCE,Developmental Biology; Neurosciences,Developmental Biology; Neurosciences & Neurology
INTERNATIONAL JOURNAL OF ENVIRONMENTAL SCIENCE AND TECHNOLOGY,Environmental Sciences,Environmental Sciences & Ecology
INTERNATIONAL JOURNAL OF FOOD PROPERTIES,Food Science & Technology,Food Science & Technology
INTERNATIONAL JOURNAL OF FOOD SCIENCES AND NUTRITION,Food Science & Technology; Nutrition & Dietetics,Food Science & Technology; Nutrition & Dietetics
INTERNATIONAL JOURNAL OF GERIATRIC PSYCHIATRY,Geriatrics & Gerontology; Gerontology; Psychiatry,Geriatrics & Gerontology; Psychiatry
INTERNATIONAL JOURNAL OF GREEN ENERGY,Thermodynamics; GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Energy & Fuels,Thermodynamics; Science & Technology - Other Topics; Energy & Fuels
INTERNATIONAL JOURNAL OF GYNECOLOGICAL CANCER,Oncology; Obstetrics & Gynecology,Oncology; Obstetrics & Gynecology
INTERNATIONAL JOURNAL OF GYNECOLOGY & OBSTETRICS,Obstetrics & Gynecology,Obstetrics & Gynecology
INTERNATIONAL JOURNAL OF HEALTH PLANNING AND MANAGEMENT,"Health Policy & Services; Public, Environmental & Occupational Health","Health Care Sciences & Services; Public, Environmental & Occupational Health"
INTERNATIONAL JOURNAL OF HEAT AND MASS TRANSFER,"Thermodynamics; Engineering, Mechanical; Mechanics",Thermodynamics; Engineering; Mechanics
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER INTERACTION,"Computer Science, Cybernetics; Ergonomics",Computer Science; Engineering
INTERNATIONAL JOURNAL OF HUMAN-COMPUTER STUDIES,"Computer Science, Cybernetics; Ergonomics; Psychology, Multidisciplinary",Computer Science; Engineering; Psychology
INTERNATIONAL JOURNAL OF HYDROGEN ENERGY,"Chemistry, Physical; Electrochemistry; Energy & Fuels",Chemistry; Electrochemistry; Energy & Fuels
INTERNATIONAL JOURNAL OF IMMUNOGENETICS,Genetics & Heredity; Immunology,Genetics & Heredity; Immunology
INTERNATIONAL JOURNAL OF IMPOTENCE RESEARCH,Urology & Nephrology,Urology & Nephrology
INTERNATIONAL JOURNAL OF INFORMATION TECHNOLOGY & DECISION MAKING,"Computer Science, Artificial Intelligence; Computer Science, Information Systems; Computer Science, Interdisciplinary Applications; Operations Research & Management Science",Computer Science; Operations Research & Management Science
INTERNATIONAL JOURNAL OF MECHANICAL SCIENCES,"Engineering, Mechanical; Mechanics",Engineering; Mechanics
INTERNATIONAL JOURNAL OF MEDICAL INFORMATICS,"Computer Science, Information Systems; Health Care Sciences & Services; Medical Informatics",Computer Science; Health Care Sciences & Services; Medical Informatics
INTERNATIONAL JOURNAL OF MEDICAL SCIENCES,"Medicine, General & Internal",General & Internal Medicine
INTERNATIONAL JOURNAL OF MODERN PHYSICS A,"Physics, Nuclear; Physics, Particles & Fields",Physics
INTERNATIONAL JOURNAL OF MODERN PHYSICS B,"Physics, Applied; Physics, Condensed Matter; Physics, Mathematical",Physics
INTERNATIONAL JOURNAL OF MOLECULAR MEDICINE,"Medicine, Research & Experimental",Research & Experimental Medicine
INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,"Biochemistry & Molecular Biology; Chemistry, Multidisciplinary",Biochemistry & Molecular Biology; Chemistry
INTERNATIONAL JOURNAL OF NANOMEDICINE,Nanoscience & Nanotechnology; Pharmacology & Pharmacy,Science & Technology - Other Topics; Pharmacology & Pharmacy
INTERNATIONAL JOURNAL OF NEUROSCIENCE,Neurosciences,Neurosciences & Neurology
INTERNATIONAL JOURNAL OF NURSING PRACTICE,Nursing,Nursing
INTERNATIONAL JOURNAL OF OBSTETRIC ANESTHESIA,Anesthesiology; Obstetrics & Gynecology,Anesthesiology; Obstetrics & Gynecology
INTERNATIONAL JOURNAL OF ONCOLOGY,Oncology,Oncology
INTERNATIONAL JOURNAL OF OPHTHALMOLOGY,Ophthalmology,Ophthalmology
INTERNATIONAL JOURNAL OF PEDIATRIC OTORHINOLARYNGOLOGY,Otorhinolaryngology; Pediatrics,Otorhinolaryngology; Pediatrics
INTERNATIONAL JOURNAL OF PHARMACEUTICS,Pharmacology & Pharmacy,Pharmacology & Pharmacy
INTERNATIONAL JOURNAL OF PHYTOREMEDIATION,Environmental Sciences,Environmental Sciences & Ecology
INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING,"Engineering, Manufacturing; Engineering, Mechanical",Engineering
INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science",Engineering; Operations Research & Management Science
INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,"Engineering, Industrial; Engineering, Manufacturing; Operations Research & Management Science",Engineering; Operations Research & Management Science
INTERNATIONAL JOURNAL OF RADIATION BIOLOGY,"Biology; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging","Life Sciences & Biomedicine - Other Topics; Nuclear Science & Technology; Radiology, Nuclear Medicine & Medical Imaging"
INTERNATIONAL JOURNAL OF RADIATION ONCOLOGY BIOLOGY PHYSICS,"Oncology; Radiology, Nuclear Medicine & Medical Imaging","Oncology; Radiology, Nuclear Medicine & Medical Imaging"
INTERNATIONAL JOURNAL OF STRUCTURAL STABILITY AND DYNAMICS,"Engineering, Civil; Engineering, Mechanical; Mechanics",Engineering; Mechanics
INTERNATIONAL JOURNAL OF SUSTAINABLE DEVELOPMENT AND WORLD ECOLOGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY; Ecology,Science & Technology - Other Topics; Environmental Sciences & Ecology
INTERNATIONAL JOURNAL OF SYSTEMATIC AND EVOLUTIONARY MICROBIOLOGY,Microbiology,Microbiology
INTERNATIONAL JOURNAL OF UROLOGY,Urology & Nephrology,Urology & Nephrology
INTERNATIONAL NURSING REVIEW,Nursing,Nursing
INTERNATIONAL STUDIES QUARTERLY,International Relations; Political Science,International Relations; Government & Law
INTERNATIONAL WOUND JOURNAL,Dermatology; Surgery,Dermatology; Surgery
INVERSE PROBLEMS,"Mathematics, Applied; Physics, Mathematical",Mathematics; Physics
INVESTIGATIVE OPHTHALMOLOGY & VISUAL SCIENCE,Ophthalmology,Ophthalmology
IRANIAN JOURNAL OF ALLERGY ASTHMA AND IMMUNOLOGY,Allergy; Immunology,Allergy; Immunology
IRANIAN JOURNAL OF BASIC MEDICAL SCIENCES,"Medicine, Research & Experimental; Pharmacology & Pharmacy",Research & Experimental Medicine; Pharmacology & Pharmacy
IRISH JOURNAL OF MEDICAL SCIENCE,"Medicine, General & Internal",General & Internal Medicine
ISA TRANSACTIONS,"Automation & Control Systems; Engineering, Multidisciplinary; Instruments & Instrumentation",Automation & Control Systems; Engineering; Instruments & Instrumentation
ISIJ INTERNATIONAL,Metallurgy & Metallurgical Engineering,Metallurgy & Metallurgical Engineering
ITALIAN JOURNAL OF PEDIATRICS,Pediatrics,Pediatrics
JACC-CARDIOVASCULAR IMAGING,"Cardiac & Cardiovascular Systems; Radiology, Nuclear Medicine & Medical Imaging","Cardiovascular System & Cardiology; Radiology, Nuclear Medicine & Medical Imaging"
JAPANESE JOURNAL OF CANCER RESEARCH,Oncology,Oncology
JAPANESE JOURNAL OF OPHTHALMOLOGY,Ophthalmology,Ophthalmology
JCPSP-JOURNAL OF THE COLLEGE OF PHYSICIANS AND SURGEONS PAKISTAN,"Medicine, General & Internal",General & Internal Medicine
JCR-JOURNAL OF CLINICAL RHEUMATOLOGY,Rheumatology,Rheumatology
JOURNAL OF ACCOUNTING AND PUBLIC POLICY,"Business, Finance; Public Administration",Business & Economics; Public Administration
JOURNAL OF ACCOUNTING RESEARCH,"Business, Finance",Business & Economics
JOURNAL OF ADVANCED NURSING,Nursing,Nursing
JOURNAL OF ADVANCED ORAL RESEARCH,"Dentistry, Oral Surgery & Medicine","Dentistry, Oral Surgery & Medicine"
JOURNAL OF AGING STUDIES,Gerontology,Geriatrics & Gerontology
JOURNAL OF AGRICULTURAL AND FOOD CHEMISTRY,"Agriculture, Multidisciplinary; Chemistry, Applied; Food Science & Technology",Agriculture; Chemistry; Food Science & Technology
JOURNAL OF ALLERGY AND CLINICAL IMMUNOLOGY,Allergy; Immunology,Allergy; Immunology
JOURNAL OF ALLOYS AND COMPOUNDS,"Chemistry, Physical; Materials Science, Multidisciplinary; Metallurgy & Metallurgical Engineering",Chemistry; Materials Science; Metallurgy & Metallurgical Engineering
JOURNAL OF ANALYTICAL TOXICOLOGY,"Chemistry, Analytical; Toxicology",Chemistry; Toxicology
JOURNAL OF ANATOMY,Anatomy & Morphology,Anatomy & Morphology
JOURNAL OF ANESTHESIA,Anesthesiology,Anesthesiology
JOURNAL OF ANIMAL SCIENCE AND BIOTECHNOLOGY,"Agriculture, Dairy & Animal Science",Agriculture
JOURNAL OF APPLIED GENETICS,Biotechnology & Applied Microbiology; Genetics & Heredity,Biotechnology & Applied Microbiology; Genetics & Heredity
JOURNAL OF APPLIED MATHEMATICS,"Mathematics, Applied",Mathematics
JOURNAL OF APPLIED PHYSICS,"Physics, Applied",Physics
JOURNAL OF APPLIED PHYSIOLOGY,Physiology; Sport Sciences,Physiology; Sport Sciences
JOURNAL OF APPLIED POLYMER SCIENCE,Polymer Science,Polymer Science
JOURNAL OF APPLIED STATISTICS,Statistics & Probability,Mathematics
JOURNAL OF APPLIED TOXICOLOGY,Toxicology,Toxicology
JOURNAL OF ARACHNOLOGY,Entomology,Entomology
JOURNAL OF ARTHROPLASTY,Orthopedics,Orthopedics
JOURNAL OF ARTIFICIAL ORGANS,"Engineering, Biomedical; Transplantation",Engineering; Transplantation
JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,Architecture; Construction & Building Technology,Architecture; Construction & Building Technology
JOURNAL OF ASIAN EARTH SCIENCES,"Geosciences, Multidisciplinary",Geology
JOURNAL OF ASSISTED REPRODUCTION AND GENETICS,Genetics & Heredity; Obstetrics & Gynecology; Reproductive Biology,Genetics & Heredity; Obstetrics & Gynecology; Reproductive Biology
JOURNAL OF BACTERIOLOGY,Microbiology,Microbiology
JOURNAL OF BEHAVIORAL MEDICINE,"Psychology, Clinical",Psychology
JOURNAL OF BIOCHEMISTRY,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF BIOCHEMISTRY AND MOLECULAR BIOLOGY,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF BIOLOGICAL CHEMISTRY,Biochemistry & Molecular Biology,Biochemistry & Molecular Biology
JOURNAL OF BIOLOGICAL SYSTEMS,Biology; Mathematical & Computational Biology,Life Sciences & Biomedicine - Other Topics; Mathematical & Computational Biology
JOURNAL OF BIOMECHANICS,"Biophysics; Engineering, Biomedical",Biophysics; Engineering
JOURNAL OF BIOMEDICAL MATERIALS RESEARCH PART B-APPLIED BIOMATERIALS,"Engineering, Biomedical; Materials Science, Biomaterials",Engineering; Materials Science
JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,Biochemistry & Molecular Biology; Biophysics,Biochemistry & Molecular Biology; Biophysics
JOURNAL OF BONE AND JOINT SURGERY-AMERICAN VOLUME,Orthopedics; Surgery,Orthopedics; Surgery
JOURNAL OF BONE AND MINERAL RESEARCH,Endocrinology & Metabolism,Endocrinology & Metabolism
JOURNAL OF BURN CARE & RESEARCH,Emergency Medicine; Dermatology; Surgery,Emergency Medicine; Dermatology; Surgery
JOURNAL OF BUSINESS ETHICS,Business; Ethics,Business & Economics; Social Sciences - Other Topics
JOURNAL OF BUSINESS FINANCE & ACCOUNTING,"Business, Finance",Business & Economics
JOURNAL OF BUSINESS VENTURING,Business,Business & Economics
JOURNAL OF CANCER RESEARCH AND CLINICAL ONCOLOGY,Oncology,Oncology
JOURNAL OF CARDIOLOGY,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
JOURNAL OF CARDIOTHORACIC AND VASCULAR ANESTHESIA,Anesthesiology; Cardiac & Cardiovascular Systems; Respiratory System; Peripheral Vascular Disease,Anesthesiology; Cardiovascular System & Cardiology; Respiratory System
JOURNAL OF CARDIOTHORACIC SURGERY,Cardiac & Cardiovascular Systems,Cardiovascular System & Cardiology
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,Cardiovascular System & Cardiology; Pharmacology & Pharmacy
JOURNAL OF CARDIOVASCULAR PHARMACOLOGY AND THERAPEUTICS,Cardiac & Cardiovascular Systems; Pharmacology & Pharmacy,Cardiovascular System & Cardiology; Pharmacology & Pharmacy
JOURNAL OF CARDIOVASCULAR SURGERY,Cardiac & Cardiovascular Systems; Surgery; Peripheral Vascular Disease,Cardiovascular System & Cardiology; Surgery
JOURNAL OF CELL BIOLOGY,Cell Biology,Cell Biology
JOURNAL OF CELL COMMUNICATION AND SIGNALING,Cell Biology,Cell Biology
JOURNAL OF CELL SCIENCE,Cell Biology,Cell Biology
JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,"Cell Biology; Medicine, Research & Experimental",Cell Biology; Research & Experimental Medicine
JOURNAL OF CELLULAR BIOCHEMISTRY,Biochemistry & Molecular Biology; Cell Biology,Biochemistry & Molecular Biology; Cell Biology
JOURNAL OF CELLULAR PHYSIOLOGY,Cell Biology; Physiology,Cell Biology; Physiology
JOURNAL OF CEREBRAL BLOOD FLOW AND METABOLISM,Endocrinology & Metabolism; Hematology; Neurosciences,Endocrinology & Metabolism; Hematology; Neurosciences & Neurology
JOURNAL OF CHEMICAL AND ENGINEERING DATA,"Thermodynamics; Chemistry, Multidisciplinary; Engineering, Chemical",Thermodynamics; Chemistry; Engineering
JOURNAL OF CHEMICAL ECOLOGY,Biochemistry & Molecular Biology; Ecology,Biochemistry & Molecular Biology; Environmental Sciences & Ecology
JOURNAL OF CHEMICAL NEUROANATOMY,Biochemistry & Molecular Biology; Neurosciences,Biochemistry & Molecular Biology; Neurosciences & Neurology
JOURNAL OF CHEMICAL PHYSICS,"Chemistry, Physical; Physics, Atomic, Molecular & Chemical",Chemistry; Physics
JOURNAL OF CHROMATOGRAPHY B-ANALYTICAL TECHNOLOGIES IN THE BIOMEDICAL AND LIFE SCIENCES,"Biochemical Research Methods; Chemistry, Analytical",Biochemistry & Molecular Biology; Chemistry
JOURNAL OF CIRCUITS SYSTEMS AND COMPUTERS,"Computer Science, Hardware & Architecture; Engineering, Electrical & Electronic",Computer Science; Engineering
